"","Degree","Betweenness","Eigenvecto","Constraint"
"j3i64tf",3,1709,4.87176272499945e-05,0.333333333333333
"j3ipjyy",2,571,4.84049908205763e-05,0.5
"jgewcc0",1,0,4.80982846677149e-05,1
"j3ifm3f",1,0,4.8406971927607e-05,1
"j3jsyet",1,0,4.84069719276061e-05,1
"j7o8kmc",2,1707,4.87176401286816e-05,0.5
"j9ku8xx",1,0,4.84069719276065e-05,1
"j3ft519",2,2272,4.77876162213263e-05,0.5
"j3ibwke",2,571,4.77836672149687e-05,0.5
"jgex18z",1,0,4.68494487588859e-05,1
"j3fjskh",3,2839,4.74527231179872e-05,0.333333333333333
"j3i5qlv",1,0,4.65468591291077e-05,1
"j3hk4e6",1,0,4.68455518683874e-05,1
"jhpduh4",1,0,4.68455518683869e-05,1
"j3i9kwu",1,0,4.65468339600104e-05,1
"j3jwnw3",2,571,4.65429749459826e-05,0.5
"jgexwve",1,0,4.62480669923529e-05,1
"j3fazc7",2,1140,4.62461621734154e-05,0.5
"j482ok1",1,0,4.59493738494939e-05,1
"j3lelcg",1,0,4.59493738494951e-05,1
"j3isgdp",2,1140,4.62461621734127e-05,0.5
"j3m7iiz",1,0,4.59493738494961e-05,1
"j937biy",2,3396,4.62461743982387e-05,0.5
"j3dq3ab",1,0,5.17870447495585e-05,1
"j3dgt1l",4,2277,5.31381246437204e-05,0.25
"j3e24uw",1,0,5.21258882216831e-05,1
"j3rapen",1,0,5.21215387573006e-05,1
"j9nh7fc",2,1140,5.24560327650374e-05,0.5
"j3ez46l",1,0,5.17870447495586e-05,1
"j3e2ki0",1,0,5.17870447495583e-05,1
"j3ccz21",1,0,5.00968965817283e-05,1
"j3h76vh",2,571,5.0416347192639e-05,0.5
"j3cu8ci",3,1141,5.0744077992715e-05,0.333333333333333
"j3edtih",2,571,5.04205005294174e-05,0.5
"j3g4kzt",2,1140,5.00968965817219e-05,0.5
"j3lubkh",1,0,4.91323679664681e-05,1
"j3cmo43",2,571,4.97670888571907e-05,0.5
"j83j3ti",1,0,4.94517521098071e-05,1
"j3luwc5",1,0,4.97670888571979e-05,1
"j3co779",1,0,5.14234998539633e-05,1
"j3dprtx",2,571,5.17514097558605e-05,0.5
"j3dqqy1",2,1140,5.17535141430286e-05,0.5
"j3g3sw8",1,0,5.14234998539648e-05,1
"j3nf6vq",1,0,5.14234998539635e-05,1
"j3coy1z",1,0,5.0757049111435e-05,1
"j3d7e8l",2,571,5.10807092870757e-05,0.5
"j3gc3wo",1,0,5.07570491114353e-05,1
"j4b7m3t",2,571,5.04292347073422e-05,0.5
"j3dbk8c",2,1707,5.04121128508433e-05,0.5
"j3i4cht",1,0,5.00906391429538e-05,1
"j3dpl25",2,571,5.04162931862676e-05,0.5
"j3i47jq",1,0,5.00948058934996e-05,1
"j3ibaev",1,0,5.0094805893499e-05,1
"j3dlp0m",1,0,4.94497153407096e-05,1
"j3f90sg",1,0,4.94497153407096e-05,1
"j3crjpp",2,571,4.94476916432654e-05,0.5
"j3d19sw",2,2272,4.2270335854808e-05,0.5
"j3d5zyo",2,571,4.22686059688052e-05,0.5
"j3ornze",1,0,4.20007814882362e-05,1
"j3cwsou",4,2277,4.39484101522296e-05,0.25
"j3dtd83",2,2272,4.33896981753277e-05,0.5
"j3dvoo8",2,1707,4.33879110113543e-05,0.5
"j3dmwsh",2,571,4.28256249994995e-05,0.5
"j3dy2vj",1,0,4.31075624407021e-05,1
"j3ewcm6",2,1140,4.33842085579944e-05,0.5
"j3dv1xv",1,0,4.31075624407026e-05,1
"j3hatrz",1,0,4.31075624407026e-05,1
"j3hngiz",1,0,4.22811522423364e-05,1
"j3m53gm",1,0,4.19938169563504e-05,1
"j3qgh6a",1,0,4.19938169563508e-05,1
"j3d5dvy",1,0,4.17260368861902e-05,1
"j3cdz61",2,2272,4.19955465545734e-05,0.5
"j3ce62q",3,1709,4.2263315382408e-05,0.333333333333333
"j3ffoum",2,2272,4.14564716363551e-05,0.5
"j3lf1ja",2,571,4.14547641688401e-05,0.5
"j3c8cql",1,0,4.1729474884237e-05,1
"j3e295y",1,0,4.17294748842366e-05,1
"j3cxoze",1,0,4.19972770180143e-05,1
"j3d36i0",1,0,4.19972770180154e-05,1
"j6q5b30",1,0,4.11886920676928e-05,1
"j3d00pg",1,0,4.11886920676929e-05,1
"j3dh81i",1,0,4.14530455311772e-05,1
"j3m5h3k",1,0,4.09243496318815e-05,1
"j3d1str",2,571,4.17225551976915e-05,0.5
"j3cb9on",1,0,4.1727700084454e-05,1
"j3g6fov",2,571,4.1993783219206e-05,0.5
"j3cvvr1",1,0,4.14599202294231e-05,1
"j3cox5s",1,0,4.11903996041804e-05,1
"j3cug16",1,0,4.14547529986871e-05,1
"j3hovfs",1,0,4.09243496318814e-05,1
"j3hoju2",1,0,4.09243496318819e-05,1
"j3deysn",2,571,4.14513272474137e-05,0.5
"j3iu5ma",1,0,4.17208142119161e-05,1
"j3eghgn",2,1140,4.118868124964e-05,0.5
"j3c7se6",1,0,4.17242736933389e-05,1
"j42a63t",1,0,4.17242736933383e-05,1
"j87bygc",1,0,4.09243496318813e-05,1
"j3gvkpy",1,0,4.09243496318815e-05,1
"j4h09t5",2,571,3.90267921219051e-06,0.5
"jgewi15",1,0,3.87795085863886e-06,1
"j3iwilz",1,0,3.85306482090589e-06,1
"j7oagyo",2,1140,3.90283894004264e-06,0.5
"j3g1lvj",3,1709,3.85290304295801e-06,0.333333333333333
"j3iemd3",1,0,3.80360710825004e-06,1
"j3fo2l7",2,1707,3.80150564429489e-06,0.5
"j3gbe61",1,0,3.77726376976013e-06,1
"j3kgr32",1,0,3.7048472974503e-06,1
"j3fiqnb",2,571,3.70469470591391e-06,0.5
"j3itw9z",2,571,3.70469470591365e-06,0.5
"j93cvg0",2,2835,3.70484730372878e-06,0.5
"j3dklwc",1,0,4.22982496727745e-06,1
"j3dxppr",2,571,4.25679710051922e-06,0.5
"j3ftwff",1,0,4.22982496727746e-06,1
"j9o6xla",2,571,4.20215597889382e-06,0.5
"j3hmoyl",1,0,4.01316993296453e-06,1
"j3dit0e",1,0,4.03925749119283e-06,1
"j4fer0a",1,0,4.03925749119229e-06,1
"j3l3d22",1,0,4.01350054093619e-06,1
"j3gwbyw",2,571,4.01316993295877e-06,0.5
"j3jqhcj",1,0,3.96148859991243e-06,1
"j3dq24c",1,0,4.11944167290097e-06,1
"j3dr7p7",2,571,4.14587850856134e-06,0.5
"j3danix",1,0,4.06605353382927e-06,1
"j4da91n",1,0,4.01419578647108e-06,1
"j3dhyy0",2,1140,4.03858554241309e-06,0.5
"j3i4iig",1,0,4.01316563402782e-06,1
"j3cyrv9",1,0,3.93606439988745e-06,1
"j3da01y",2,1707,3.38633717476506e-06,0.5
"j3ddox3",1,0,3.36460509394236e-06,1
"j3d30gu",1,0,3.49831846307036e-06,1
"j3ds8z1",2,571,3.52062603192587e-06,0.5
"j3hf296",1,0,3.49831846306948e-06,1
"j3ehdxl",3,1709,3.49831846305896e-06,0.333333333333333
"j3ehna0",2,1140,3.47586681487282e-06,0.5
"j8liv7a",1,0,3.40894412583539e-06,1
"j3f0gav",2,571,3.47542888342728e-06,0.5
"j3de039",3,1709,3.38591421596428e-06,0.333333333333333
"j3e63mq",2,571,3.38563619970113e-06,0.5
"j3cfmfk",1,0,3.3641839602541e-06,1
